Name,id_Number,row_Number,seat_Number,auditorium_Number
Donald Figueiredo,67141195007105601,19,16,3
Donald Fogarty,97213201508076408,57,66,4
Donald Francis,76610194907163679,46,31,1
Donald Gerrity,96283199802063973,37,21,3
Donald Gomez,51266198305251875,37,29,6
Donald Gonzales,34032198704144386,54,68,4
Donald Goudeau,25060201601126071,13,44,2
Donald Grant,89526194411302071,57,39,2
Donald Grau,58864197901235789,22,7,2
Donald Green,54899193302045437,43,7,1
Donald Hack,69063200304069423,16,40,2
Donald Halpern,97893194506193739,17,55,5
Donald Hampton,25569197203175800,48,57,1
Donald Hassell,79934197101311950,20,23,1
Donald Higgins,68244193711119077,59,23,4
Donald Howard,54218201805101816,47,8,4
Donald Hughes,67565200803018205,15,21,1
Donald Hundley,55635198204015739,57,9,4
Donald Johnson,58680201904158689,14,24,2
Donald Jones,33847194811159725,11,24,5
Donald Leon,91231194211015525,34,43,4
Donald Lopez,84499198005232052,28,15,1
Donald Lopez,33800199002038409,17,44,5
Donald Luna,45543201604123760,54,65,2
Donald Magic,79614195207262406,6,21,4
Donald Mcclard,74498200005277914,22,35,5
Donald Merrick,68163193612258336,36,10,5
Donald Morin,93933196909101644,31,48,2
Donald Munez,18564193909041105,28,5,5
Donald Niece,28058198706224903,34,39,2
Donald Ortiz,77377200309282436,58,24,2
Donald Patterson,56456194504024873,7,15,3
Donald Reed,65380197505217443,21,30,5
Donald Reed,33907194609256284,41,32,5
Donald Reedy,33196198204187228,15,38,2
Donald Richardt,50974193208125957,16,18,5
Donald Sanchez,60884193008274762,25,40,2
Donald Sanders,26430199207292298,3,25,1
Donald Schaefer,12698195108027523,5,16,3
Donald Sherbert,14185197201227867,40,38,4
Donald Shore,72925197412017746,13,63,1
Donald Skinner,79406200407209197,14,14,3
Donald Smith,86727201908131323,35,59,2
Donald Spaulding,73607194307228515,17,36,5
Donald Sullivan,49801199702138042,14,48,5
Donald Todd,40199201002119756,7,66,2
Donald Vargo,69322198903061287,42,34,5
Donald Ward,52591199007157119,4,13,5
Donald Washington,79818195601196038,37,24,5
Donald White,30231201612149080,45,14,5
Donald Whitling,19031198607158959,41,59,2
Donald Williams,29084199804185466,54,49,2
Donald Woloszyn,24948193303043344,11,16,6
Donald Ybarra,90893201012164590,29,16,6
Donald Yeakley,11791199702223696,31,56,2
Donald Zastrow,27274200409054339,18,34,2
Donna Adams,35213200409039150,38,1,2
Donna Alderson,93698199502156105,22,3,6
Donna Allen,68208193810255215,7,40,3
Donna Armstrong,77613193405241857,20,45,2
Donna Barker,81217198301283555,57,25,2
Donna Benson,10482195304012539,38,37,5
Donna Berry,30427194106028561,34,23,2
Donna Bever,60347193105102889,34,1,4
Donna Burden,28568201704153677,66,7,4
Donna Carden,75123199705144664,14,33,4
Donna Davis,96283202001307280,25,19,2
Donna Dion,41653200507069299,45,41,5
Donna Evans,65093193910202548,23,67,4
Donna Everett,45971199208051640,6,28,2
Donna Gaston,58769193511246291,59,53,2
Donna Gilmore,99161201810289890,33,49,4
Donna Goolsby,55235193411232730,56,27,4
Donna Grande,51149193404221148,30,18,3
Donna Hoeft,47057200306269709,17,24,1
Donna Jackson,38111196706185849,30,55,2
Donna Jones,68168196211137282,31,65,1
Donna Jordan,12518196008112452,27,16,2
Donna Kina,65210201902011562,19,41,6
Donna Kinde,22520193505155535,39,55,1
Donna Lance,35299198806137558,38,38,1
Donna Leonard,91437195208063556,40,60,2
Donna Maynard,74671195705032687,37,9,3
Donna Meluso,45208199109275020,35,55,1
Donna Merten,14858196511226772,9,35,4
Donna Mike,30796197211268172,15,2,5
Donna Miller,65422196511025043,37,13,4
Donna Miller,14847200605067140,55,16,4
Donna Musick,33703193608064842,21,15,4
Donna Nichols,53764195909267179,35,4,3
Donna Panzarella,21301200210106502,56,15,4
Donna Pasquale,99784194808121452,28,53,5
Donna Proctor,47100199308094902,40,54,5
Donna Rodriguez,76456195403171058,13,27,6
Donna Salinas,22568197405103477,20,32,5
Donna Scott,52130193910041881,25,45,5
Donna Simpson,26235197510112655,42,2,4
Donna Sorensen,52561196203048187,32,1,1
Donna Stannard,12407193408039959,62,42,4
Donna Summers,65165201502251897,30,35,3
Donna Thomas,32673196212025325,14,5,2
Donna Ufford,95525196510187795,5,4,2
Donna Walters,99070193004288060,18,23,4
Donna Watson,39650199101047281,35,14,2
Donna Wilke,95567195906242011,58,33,2
Donna Zamarripa,51939201203011386,18,9,1
Donnell Borden,82546200512102287,15,66,2
Donnie Coleman,67205194102086374,4,15,2
Donnie Hale,69129195608208444,28,1,6
Donnie Lawrence,59963200702104522,41,39,5
Donnie Sanders,91946200712119460,15,28,2
Donny Moreau,97095201603278197,10,41,4
Donny Murphy,71025193312122815,43,37,6
Donny Pickering,88910198306034897,8,68,4
Donte Hollack,58628201503316640,28,33,3
Donya Yao,15491195201233915,4,32,1
Dora Jobe,77166197202085197,51,32,2
Dora Love,96656198307098403,37,15,4
Dora Rizzo,72838196908267335,4,24,5
Dora Roach,94625201012271385,18,6,4
Dora Smith,95685197609304435,15,14,4
Doreen Burnett,68926198005048174,22,41,6
Doris Arrington,68130196708149863,10,30,6
Doris Burmeister,11271196101117065,50,57,1
Doris Collier,45291196408161762,35,21,4
Doris Conn,47825195706259815,47,10,4
Doris Crump,85452201606286495,36,28,3
Doris Davis,97982193910017999,28,24,5
Doris Davis,53538195705292877,51,3,2
Doris Donaldson,52170197609304574,52,27,4
Doris Donaldson,26793199504297992,40,7,1
Doris Ellsworth,38677200810143391,50,60,1
Doris Esposito,83908195306177996,10,26,3
Doris Fairfield,94781199512217883,42,61,2
Doris Federgreen,40775198009175575,32,58,2
Doris Fontenot,11751193812276705,16,30,1
Doris Gifford,41674201403275347,54,42,4
Doris Guertin,83215194511151227,61,45,4
Doris Jacobson,26789201406297306,40,19,1
Doris Keen,97254196910196475,6,17,1
Doris Keys,68754196804066736,28,30,3
Doris Kwok,23848194511128967,37,4,4
Doris Le,18480198806227567,5,12,4
Doris Mcdaniel,74589198205259854,13,39,1
Doris Mcleod,70648201403207126,59,33,2
Doris Norris,80335200804052989,59,66,4
Doris Oliver,30246197401125953,15,8,4
Doris Perez,31913199508314352,33,56,2
Doris Rivera,23619198402223093,55,28,2
Doris Stamps,31295195512268053,8,36,4
Doris Steed,86945195202104074,39,33,6
Doris Steptoe,85368198706075537,5,25,3
Doris Wilson,31996201612013945,23,40,6
Doris Yunker,33984200212281518,9,68,1
Dorotha Criswell,55827197207161459,31,36,5
Dorothea Muzzy,26096198103288729,44,14,5
Dorothea Uber,55550201201291959,11,22,2
Dorothy Ballard,39570200902059140,2,32,3
Dorothy Barnett,10771196006107564,39,49,4
Dorothy Barone,86260197608217666,2,32,6
Dorothy Batchelor,13787200501315215,17,9,1
Dorothy Becker,85948197107268867,45,40,1
Dorothy Chugg,76115196412276087,65,45,4
Dorothy Colella,51034199310047986,43,8,1
Dorothy Coleman,40869199502049167,11,3,3
Dorothy Conroy,82588198108254679,43,50,4
Dorothy Cook,86440198502127705,29,5,1
Dorothy Cooper,82203201612127844,36,41,2
Dorothy Cunningham,71676195906064949,39,7,4
Dorothy Dales,57254198802134320,6,30,4
Dorothy Dearman,53207194508101957,4,48,5
Dorothy Eddie,66106193310183619,21,32,1
Dorothy Fisher,96652199210059824,51,2,4
Dorothy Fox,92809194903251039,39,21,3
Dorothy Funk,56871202005282903,6,44,3
Dorothy Ginn,70488196802086628,23,27,6
Dorothy Gourd,30293194909155271,37,38,2
Dorothy Graham,58212195012163874,1,33,6
Dorothy Hamilton,13249195503051920,47,19,4
Dorothy Harris,67371201507246012,7,63,1
Dorothy Harris,62514194504113577,44,66,4
Dorothy Hill,41510198812184750,2,34,6
Dorothy Hutchings,78548200501065149,15,8,6
Dorothy Ison,52011201603044734,34,15,2
Dorothy Johnson,30503199609281673,13,13,2
Dorothy Kisler,10991194811116003,40,41,1
Dorothy Logan,41719195004199428,14,58,1
Dorothy Madrid,98183196109208074,13,4,3
Dorothy Margo,98475195601239985,37,34,4
Dorothy Mathison,94096200303079049,68,38,4
Dorothy Maya,84064199208045470,13,14,6
Dorothy Mcgee,22554198211047053,43,43,4
Dorothy Mcgough,26769198706112896,25,7,5
Dorothy Mooney,70034199910019519,34,59,4
Dorothy Munoz,77692193602228718,5,5,4
Dorothy Norris,79836199009106925,11,29,5
Dorothy Okeefe,21127197411249925,58,21,4
Dorothy Ortiz,87196198403291682,12,46,2
Dorothy Pearson,71637200701092606,28,31,4
Dorothy Roberson,40749194303267960,10,63,1
Dorothy Rodrigues,19290194504146395,29,43,5
Dorothy Schrenk,37235201905026518,21,40,2
Dorothy Selders,18435195206126469,35,8,2
Dorothy Shields,55486199109048954,39,28,6
Dorothy Skinner,32132197607116336,34,1,2
Dorothy Smith,86779195910055896,36,1,3
Dorothy Smith,56108199507276573,5,29,5
Dorothy Spates,72677201104266807,33,21,5
Dorothy Stubbs,60716197712034253,10,19,5
Dorothy Talley,58366200111032580,42,59,5
Dorothy Tattershall,50952198103085465,4,32,6
Dorothy Terrio,12141200807164922,57,44,4
Dorothy Topp,12830198809082024,24,43,1
Dorothy Vanderlip,38430197412215727,13,31,6
Dorothy Wesley,98276200404297776,5,13,6
Dorothy White,85281197905317607,18,45,2
Dorothy Wilburn,40827193407079667,43,54,1
Dorothy Willis,48772193111071928,22,64,2
Dorothy Wilson,25408198806029094,43,25,1
Dorothy Wind,55371194311168094,42,40,1
Dorothy Young,85235196110043714,40,42,6
Dortha Bodden,37995193904098501,12,28,3
Dorthy Dyal,72984196208233421,19,60,1
Dorthy Gonzalez,80075193103013621,44,10,1
Dorthy Hennemann,89940201102242424,56,2,4
Dorthy Smith,39640199701239819,56,55,4
Dorthy Tidwell,96272202001259978,31,58,4
Dottie Bickmore,50180199610191102,67,36,4
Doug Cronk,62197197108299552,23,60,4
Doug Hale,33501199107297251,17,43,5
Doug Stokes,52218198705285825,11,35,4
Douglas Durham,84740199209083795,34,4,3
Douglas Duval,94366194507102276,43,7,4
Douglas Groff,49640198907195783,31,44,3
Douglas Hernandez,24182195111064282,55,45,4
Douglas Holley,94422197607118155,32,4,2
Douglas Jaquet,39220200308169561,36,14,3
Douglas Kovach,27202195506198777,5,37,5
Douglas Landefeld,19193194004289519,31,9,4
Douglas Mages,69704196707073985,21,24,2
Douglas Milewski,20700199603166567,24,22,3
Douglas Mondragon,91441195402177481,38,6,2
Douglas Nelson,84632194004118370,17,11,4
Douglas Nolan,61405199201271825,3,42,6
Douglas Norris,45603197611244762,31,49,4
Douglas Paramore,25593201209098264,13,4,6
Douglas Robinson,68419194707293689,41,2,2
Douglas Rode,10881199912249385,2,40,1
Douglas Simmons,33544198006161727,57,44,2
Douglas Sotak,64909198908063596,12,28,1
Douglas Thompson,22432194806119129,42,12,5
Douglas Torres,74128199112259389,44,51,1
Douglas Turner,75213200707182801,34,41,5
Douglas Washington,19503197106094248,51,50,4
Douglas Watts,94125193801267924,5,9,3
Douglas Williams,34597196312118484,24,13,5
Dovie Clever,81935201801262312,31,29,2
Drew Wilson,36883195804069707,6,58,4
Drucilla Pecanty,65200199909243995,3,40,4
Duane Butler,10822199506011356,28,25,1
Duane Cheney,90337201211177422,67,31,4
Duane Ernst,39249193808185874,60,16,4
Duane Kilpatrick,81950197007192669,25,51,4
Duane Torres,86732194308168343,27,55,1
Dudley Mccants,22464199104182348,14,40,1
Dudley Wurth,61220201807259657,25,26,2
Dudley Zullo,76010193901023465,19,36,6
Dulce Lisa,84209200211076114,39,16,2
Dustin Emberling,71474197307227597,2,18,4
Dustin Fullerton,37950197403156184,36,3,5
Dustin Glover,35644200502139959,35,23,4
Dustin Payne,29001194910139787,36,4,1
Dustin Phillips,90447197407058148,1,25,2
Dustin Sanders,58618196206077094,17,64,1
Dustin Whaley,43943195704261796,49,66,1
Dusty Ochoa,94927199807317788,35,12,4
Dwain Smyth,55341201708169129,22,66,2
Dwayne Burnett,11039196802015643,36,40,1
Dwayne Soto,57549198003031016,34,13,5
Dwight Bain,84871196112205790,9,16,2
Dwight Bustamante,16828199302151416,7,32,1
Dwight Paiz,46362199311162831,4,56,2
Earl Ambler,27117198405271680,66,44,4
Earl Anderson,48045195303044763,27,24,6
Earl Blake,46887198703309004,1,11,6
Earl Blank,17145200701286574,29,34,5
Earl Bowens,77610198508191730,24,58,4
Earl Carter,70450200802043950,67,39,4
Earl Cleary,11795200206095319,50,66,4
Earl Clowney,35927201611235120,31,43,5
Earl Corscadden,81891200812112492,8,17,4
Earl Galloway,21886201804089279,14,6,3
Earl Glenn,84945196412092297,36,53,2
Earl Greene,50092199103011010,53,3,2
Earl Johnson,81251195104013466,37,58,4
Earl Land,10293198903256358,20,22,5
Earl Livingston,62592197002228953,34,17,3
Earl Pearson,39450196009115876,9,4,6
Earl Ramsey,67967201512014807,2,57,4
Earl Sears,25143197005148167,17,34,5
Earl Seiber,71642195206116514,45,62,5
Earl Simmons,76645197111029924,37,28,6
Earl Sthilaire,99967196905304676,68,40,4
Earl Stier,95140196309034338,12,40,4
Earnest Delgado,56568195902024051,17,8,2
Earnest Jones,56374194402246538,35,67,1
Earnest Pierce,33411196701191520,11,15,3
Earnest Russell,31166200006183556,14,1,6
Earnestine Thomas,33774198909158028,27,32,5
Eboni Chandler,51652197405273278,15,64,2
Eboni Porter,32535194507196095,51,42,2
Ebony Busch,55401193403021036,46,2,5
Ed Mccormack,22158194810154741,20,19,1
Ed Nigro,43306197506139574,10,28,5
Edda Snyder,66318194204292469,9,67,4
Eddie Fast,47453193812051832,53,30,4
Eddie Goodwin,46990200001088615,33,13,4
Eddie Hester,21407197402195886,21,60,1
Eddie Kapp,56629193606038689,15,9,3
Eddie Kennedy,76706199302114627,40,12,5
Eddie Leblanc,90179197010205068,28,49,2
Eddie Lott,40051193711053018,14,46,4
Eddie Lynn,14035195410304348,58,13,2
Eddie Ramirez,41804193206089486,34,28,2
Eddie Smith,15612193710212350,47,35,1
Eddie Twombley,57556199008224879,28,44,3
Eddie Worrell,16667201311142641,21,22,3
Eddy Harvey,16420198508126178,62,5,4
Eddy Williams,62791201611212048,17,29,2
Edgar Chase,87307199609057179,22,66,1
Edgar Jamieson,68039197807257454,22,12,1
Edgar Kelly,36222194408111850,22,4,5
Edgar Mcdevitt,18958197804147197,24,17,4
Edgar Mcghee,54149195602239607,22,35,2
Edgar Province,19686197002198143,17,7,1
Edgar Stephens,72799194710133514,2,64,4
Edison Spahr,27327196407259186,31,8,4
Edith Acker,20794200101079946,19,48,1
Edith Bilodeau,30919197711279044,10,22,5
Edith Bishop,46133196512211737,6,9,6
Edith Camp,51101196702082214,54,33,4
Edith Harper,12152200107065762,41,18,1
Edith Holmes,14484199305256768,38,42,3
Edith Rodkey,20872201107173485,35,64,1
Edith Thompson,85561196609041599,20,41,5
Edith Turberville,92904200012129072,41,20,6
Edmund Lowell,21495196907032230,3,2,2
Edmund Wheat,43890200009181842,41,63,1
Edna Andrews,20073200306027510,41,22,4
Edna Clark,54012195503177641,27,20,6
Edna Conrad,41974196005286956,35,63,2
Edna Crosby,70486199308268692,19,30,3
Edna Davis,27127199007281020,37,57,1
Edna Keller,78556201910314725,45,22,4
Edna Kinsey,58340194701164319,5,3,4
Edna Langford,30186194706166245,14,33,2
Edna Mcbeth,33110197210023408,56,43,2
Edna Niceswander,28370194612134558,49,39,1
Edna Salisbury,94159201810129872,4,43,6
Edna Sheperd,76913196906191860,15,40,2
Edna Smith,83835194910016376,41,31,4
Edna Suarez,36528199408209517,57,8,2
Edna Terrell,82446196003189570,8,11,4
Edna Wade,74551194512194956,39,31,6
Edna Zapien,51604199902201141,1,61,1
Eduardo Fatica,40986195207227768,1,31,1
Edward Abbott,37396194006023168,38,45,2
Edward Andersen,52743194202214888,26,47,5
Edward Bailey,54368194811108302,47,6,4
Edward Ball,32466199608196655,13,19,4
Edward Bankard,82285195807296971,2,29,3
Edward Beasley,83098200706149011,5,36,5
Edward Bell,86050195912305334,10,3,6
Edward Blount,80966200905116275,20,35,6
Edward Boehm,31797196102281205,4,31,6
Edward Colon,89123199404274625,30,33,3
Edward Cross,11150198708307755,15,56,2
Edward Crouchet,19869193508207203,46,51,1
Edward Deckard,58626201706257346,29,39,3
Edward Dierking,95159194103095692,3,61,4
Edward Dodge,14344193109019932,23,34,1
Edward Doran,97272198909101086,43,44,2
Edward Eley,38113197808194295,20,58,5
Edward Fabrizio,34553199206259173,13,52,1
Edward Fowler,86903201401221622,7,39,4
Edward Fowler,66922194209259066,44,15,2
Edward Franklin,77205199512209786,47,53,1
Edward Fu,23487197611162503,24,63,1
Edward Gibbs,83520194004278874,30,2,5
Edward Gonzales,53627194206011454,4,66,4
Edward Graham,20781194205113073,12,7,6
Edward Greenberg,64232196802058262,50,31,2
Edward Guebert,68880194710075298,63,31,4
Edward Harris,55423194411185406,34,34,6
Edward Harris,91170194407103195,21,56,2
Edward Heaney,33749197102246746,37,26,3
Edward Hendricks,42836195806151625,47,50,2
Edward Huggins,60201193606245988,25,37,4
Edward Ingram,67695194603066172,37,11,5
Edward Irving,75490197701204301,38,24,1
Edward Jenkins,18759199708043886,45,25,1
Edward Kennedy,34334201708122979,4,17,2
Edward Lee,76129194512255592,7,41,3
Edward Marks,84387200711115360,43,22,2
Edward Martinez,19150199008293066,3,55,1
Edward Mccullers,79405195604118486,15,15,3
Edward Mcdonald,89534193809279117,12,54,2
Edward Menter,70052196110183479,23,10,5
Edward Moore,51918196605201770,8,9,2
Edward Morales,96075198609293939,12,23,1
Edward Noble,48256193407062396,15,34,5
Edward Pagano,19761199204019195,44,14,2
Edward Peppers,63679195905163242,7,63,2
Edward Petrone,13758195009296687,23,12,2
Edward Pollick,71114198606206927,51,6,4
Edward Riccio,57598198810093772,2,14,5
Edward Riecke,33606195812142841,43,48,2
Edward Ritchie,89829198010263516,28,28,6
Edward Rivera,37002193407075691,20,31,1
Edward Robinson,85397200708041081,32,56,2
Edward Roffe,51886193712128427,35,45,1
Edward Rose,27697196207151830,22,58,5
Edward Ross,87591193507155763,28,53,1
Edward Savoie,70927201101133673,13,19,6
Edward Silvers,71905201707272813,13,49,4
Edward Sipe,90613201708053830,32,6,1
Edward Smith,78680196304169475,28,23,5
Edward Snow,18905195110141307,51,6,2
Edward Stalder,79043195512111028,27,13,4
Edward Starling,84057198812184005,38,15,5
Edward Stephens,76712193610261729,34,58,1
Edward Swain,63242199302244121,36,64,1
Edward Taylor,76408199104286564,15,1,1
Edward Thompson,16046196008255462,61,27,4
Edward Thompson,68914198201073609,31,13,3
Edward Troutner,37456196612058192,17,59,4
Edward Unknow,52551200912258326,58,15,4
Edward Veach,61892193110234412,6,35,4
Edward Ward,10445197403186292,23,50,2
Edward Webber,29831201304072622,11,12,5
Edward Whitaker,86943196112111315,12,37,5
Edward Williams,20953198307081528,31,32,3
Edward Williams,48072194910061755,32,62,4
Edward Young,46192193005231174,22,30,6
Edwin Barich,90256201510123751,10,42,2
Edwin Bennett,37042200201027145,16,56,4
Edwin Chavez,15786199108252115,54,3,2
Edwin Evans,66286195001152736,2,2,3
Edwin Sawyer,32515194504309339,21,27,4
Edwin Stanford,31105194503243315,44,29,4
Edyth Phares,52193197509222403,55,40,2
Effie Heggie,20443197212071180,12,26,3
Ehtel Thompson,38760199104083082,31,28,6
Eileen Ashley,94153201606118853,1,46,3
Eileen Byrd,11749196308258720,10,64,1
Eileen Carter,10327196812022514,24,47,4
Eileen Marquez,18716199606021822,39,24,3
Eileen Mccormick,34149201209234632,44,47,2
Eileen Mims,23480197812243220,57,51,2
Eileen Mosser,64209195607029599,5,45,5
Eileen Ngo,94163198403167988,36,29,1
Eileen Rittenhouse,36005196108164380,43,38,5
Eileen Robles,86307195906239892,3,2,4
Elaina Hunt,62657199912299470,9,61,2
Elaine Augenstein,76530198303172888,6,31,3
Elaine Bulson,56696196508053475,42,31,4
Elaine Cregan,48105198703295776,38,46,2
Elaine Elder,25445199706124213,49,32,4
Elaine Lytle,93670196809231081,30,30,6
Elaine Menist,10561195803059892,48,2,4
Elaine Miller,98053197206067846,43,4,6
Elaine Robinette,27584195807108573,37,41,2
Elaine Sherman,64001199206168142,5,5,5
Elaine Smith,93027200012238796,1,37,2
Elaine Smith,62215197910303157,16,15,1
Elaine Todd,61915196402083950,68,47,4
Elaine West,92619196307024679,1,33,3
Elaine West,64318198812241441,44,31,1
Elbert Ridgeway,31223198106013301,41,48,4
Eleanor Anderson,33174201807267482,50,37,2
Eleanor Andujar,93986193502032383,55,67,4
Eleanor Blalock,56779195011248182,28,8,2
Eleanor Boyd,22701194103166464,28,26,3
Eleanor Bullman,94385196501029442,24,40,3
Eleanor Dunkerson,54219193509084283,44,15,5
Eleanor Gates,36853198208129035,25,30,1
Eleanor Guerra,51087198704283905,28,22,4
Eleanor Miller,36679201110158268,13,36,3
Eleanor Richardt,63334200701046152,12,59,4
Eleanor Riley,65388196910141747,44,27,2
Eleanor Shurtz,79274194405166795,36,50,4
Eleanor Simmons,90034201509283756,42,16,6
Eleanor Taylor,18928201512191861,6,51,4
Elena Chugg,15172198505273128,37,6,3
Elena Doherty,30170194009174806,3,57,2
Elenore Summer,88196196805113522,41,45,4
Eleonore Brown,42730193811047345,26,58,4
Eli Wing,84758196006147930,56,25,2
Elia Brown,71791198709309626,46,17,4
Elia Nowakowski,94784198811254504,48,36,4
Eliana Nelson,14945201201054325,30,14,5
Elias Beauchamp,48292197409246360,8,11,6
Elias Gentile,56831193501022479,43,56,5
Elias Gonzales,47791198810179657,33,12,5
Elias Papik,21098200712168062,20,26,6
Elias Scontras,62383201612254559,36,51,1
Elijah Bryant,12701201708127287,67,44,4
Elijah Green,60369193001087863,41,52,2
Elin Mccready,26594194606043569,48,29,4
Elinor Warren,35953196411041509,14,52,4
Elisabeth Hotchkiss,33661195708244404,4,17,4
Elisabeth Shafer,95756200804156129,31,52,2
Elisabeth Volz,80562196405094704,20,27,2
Elise Falconi,38267194408258567,11,40,2
Elise Furbush,29007199007028333,56,22,2
Elise Johnson,45777200606229587,3,35,3
Elise Klauer,85713199610138716,10,1,1
Elise Lorber,64450198112049723,42,34,1
Elissa Mcdonald,98375200704208095,17,44,2
Eliza Rios,75735202005129180,34,17,5
Elizabeth Alvarez,89868193608074741,7,34,3
Elizabeth Anthony,33039198012258082,17,26,1
Elizabeth Armendariz,15158194910016798,38,20,5
Elizabeth Beckham,51106198111166973,20,40,6
Elizabeth Bivens,11887197306262448,8,24,5
Elizabeth Borchardt,26521195705312857,47,31,4
Elizabeth Bracey,78549200706234332,65,10,4
Elizabeth Bradford,45368198804135452,20,2,6
Elizabeth Campbell,50185194411119403,43,59,5
Elizabeth Campbell,97840195812182604,18,38,6
Elizabeth Chiariello,19571199211023520,32,32,4
Elizabeth Creed,89347197408022228,38,40,4
Elizabeth Cullen,84418201401305307,22,51,5
Elizabeth Daugherty,27108197502126376,65,28,4
Elizabeth Davis,92813200312069603,24,21,2
Elizabeth Davison,67805199608098563,21,14,2
Elizabeth Delaney,71864197606079578,3,24,1
Elizabeth Depriest,47956201211163006,23,48,1
Elizabeth Elliott,54523199612177585,10,21,6
Elizabeth Evans,10235197108222395,3,32,6
Elizabeth Fabian,53126200209017990,28,23,1
Elizabeth Farnell,31116195611069902,26,19,5
Elizabeth Flanders,99744199603182832,54,47,2
Elizabeth Flaten,53951200804145592,26,41,5
Elizabeth Frandsen,83520199609053516,38,24,6
Elizabeth Garcia,69017196804055975,39,42,2
Elizabeth Gardner,16573201209013533,25,30,4
Elizabeth Garmany,13868199612164234,34,26,3
Elizabeth Gilmour,53814198111037157,13,42,2
Elizabeth Grabowski,51946201604256239,42,60,4
Elizabeth Graven,53517196512084343,30,4,5
Elizabeth Gross,51080193107075249,42,36,2
Elizabeth High,43928200909031924,14,26,2
Elizabeth Holmes,23799196912057709,15,29,5
Elizabeth Hyer,20023200204219059,42,18,1
Elizabeth Johnson,30685198812276273,55,25,2
Elizabeth Johnson,63202201902017391,44,3,1
Elizabeth Keams,51679194304011810,42,3,5
Elizabeth Kellogg,22657199206103312,67,54,4
Elizabeth Kohl,60471195501209942,24,14,4
Elizabeth Latham,50065200302092740,19,10,5
Elizabeth Logan,53888197308078685,9,68,4
Elizabeth Lopez,68036201511255641,19,14,5
Elizabeth Martini,77086201811199096,15,18,6
Elizabeth Mccain,80547197404219985,38,64,1
Elizabeth Mcgee,27477201310243727,28,43,2
Elizabeth Messersmith,39409196602217353,43,48,1
Elizabeth Morgan,32248200512122202,53,23,2
Elizabeth Munoz,15429200605138560,13,65,2
Elizabeth Newell,43564193105035138,24,46,5
Elizabeth Nunez,62907200508216862,7,31,4
Elizabeth Panora,79002200202196927,18,20,5
Elizabeth Parker,78007197203193906,32,64,1
Elizabeth Paterniti,29864200501188212,66,59,4
Elizabeth Paulus,77051193907121526,64,20,4
Elizabeth Perez,32103196408019780,35,13,5
Elizabeth Perry,30342199111296857,6,39,2
Elizabeth Plantz,37429196203086434,40,59,4
Elizabeth Randall,57251194405295124,51,46,4
Elizabeth Reardon,69827201003145619,37,13,3
Elizabeth Robinson,89146198011011953,7,40,1
Elizabeth Sappington,80956196905148035,7,26,6
Elizabeth Skorupa,91610193912166552,18,51,5
Elizabeth Smith,33223201105306545,13,24,5
Elizabeth Smith,68590193402085707,28,67,1
Elizabeth Smith,29966196410013809,63,29,4
Elizabeth Steelman,82976195806157649,30,27,3
Elizabeth Strother,68170196909173329,16,53,4
Elizabeth Thompson,62931196101255449,4,56,1
Elizabeth Tubbs,96978196510035196,10,46,2
Elizabeth Turner,66455193906056794,13,30,5
Elizabeth Turner,33269201809274308,5,34,5
Elizabeth Udo,60672195311234772,9,44,5
Elizabeth Unger,30020198907114357,28,33,2
Elizabeth Veltre,56762199106195121,21,65,2
Elizabeth Waiters,28186199904297710,46,33,5
Elizabeth Werner,62338196108178609,4,6,3
Elizabeth West,10549194301159600,4,27,4
Elizabeth Williams,69233199505123920,33,36,6
Elizabeth Witkowski,38220194806103197,3,15,6
Elizabeth Zimmermann,26048198706129107,25,38,3
Ella Jeffrie,49191200912061697,49,66,4
Ella Noyes,27959196110126758,57,33,2
Ella Polich,57486194401289574,11,4,2
Ella Shah,37832199610299042,39,61,5
Ella Thompson,92637197102261337,8,15,6
Ella Wallace,39978194804156431,28,47,3
Ella Ward,99856197008075702,6,45,5
Ellen Alvarez,55853197011034296,13,10,5
Ellen Baker,88367195201098272,31,10,3
Ellen Brewer,48997199911196025,23,36,2
Ellen Brown,78685196408228707,35,50,1
Ellen Eaves,23392199101063566,8,21,1
Ellen Griego,37728201501045643,14,8,1
Ellen Hastings,32650195306242360,3,36,2
Ellen Mutch,43176194702277094,7,13,5
Ellen Phillips,26973201003107022,26,10,1
Ellen Vanicek,61786200103082329,34,6,2
Ellen Warren,27650200707094652,1,49,1
Ellie Banks,95458196401211244,21,65,1
Elliot Overman,40711197004191914,25,29,5
Elliott Crawford,10246194306134813,8,31,3
Elliott Mcrae,62366198106129710,16,37,6
Ellis Kerwin,50736196210091346,30,17,4
Ellis Lefebvre,68353196408282542,34,44,4
Ellis Loyd,64649200005126130,36,18,4
Ellis Popp,10701199607036676,44,29,2
Ellis Sanchez,95422194805154827,22,15,1
Ellsworth Stamey,41020200105021462,57,12,4
Elmer Cantu,17217193707088499,2,34,4
Elmer Chandler,69609201408297030,21,36,3
Elnora Erickson,50891195312114868,48,46,4
Eloisa Thompson,95016201912302589,27,8,5
Eloise Edens,92739196101232025,13,28,4
Eloise Laporte,33784198209135623,17,48,2
Elsa Brown,63438199708293815,2,8,5
Elsa Butler,54902199604194413,32,26,2
Elsa Mull,30967194311266876,10,53,2
Elsa Shupe,42788201302172058,55,59,2
Elsa Swanson,77277195202297947,33,48,1
Elsie Barnes,31880199406101280,36,32,5
